,city,year,month,day,hour,title,city_sector,address,intersection,latitude,longitude
3334,Toronto,2019,5,5,19,Afternoon at the Proms,NA,"250 Front St W, Toronto, ON M5V 3G5, Canada",NA,43.6447622,-79.38818119999996
3335,Toronto,2018,8,12,15,The Best of Scarborough Food Tour,NA,"2455 Eglinton Ave E, Scarborough, ON M1K, Canada",NA,43.7325254,-79.26370120000001
3336,Toronto,2019,2,26,20,Sewing Classes,NA,"707 Dundas St W, Toronto, ON M5T 2W6, Canada",NA,43.6517657,-79.40496460000003
3337,Toronto,2019,6,13,20,Earn-A-Bike,NA,"15 Tobermory Dr, North York, ON M3N 2R5, Canada",NA,43.760158,-79.5078661
3338,Toronto,2019,1,26,14,Toronto Through the Eyes of Women Artists,NA,"95 Front St E, Toronto, ON M5E 1C3, Canada",NA,43.64873009999999,-79.37154090000001
3339,Toronto,2019,3,8,15,Ai Weiwei: Unbroken,NA,"111 Queens Park, Toronto, ON M5S 2C7, Canada",NA,43.6681235,-79.39316559999997
3340,Toronto,2019,4,30,20,DIY Drop-In Bike Repair,NA,"3939 Lawrence Ave E, Scarborough, ON M1G 1R9, Canada",NA,43.763586,-79.20535689999997
3341,Toronto,2019,8,11,17,Tour and Taste Weekends,NA,"5172 Yonge St, Toronto, ON M2N 0G1, Canada",NA,43.7696779,-79.4131304
3342,Toronto,2019,2,12,21,Sewing Classes,NA,"1765 Weston Rd, York, ON M9N 3P7, Canada",NA,43.6990692,-79.51211869999997
3343,Toronto,2018,12,31,21,Winter Light Exhibition,NA,"Unnamed Road, Toronto, ON M6K 3B9, Canada",NA,43.62995118169457,-79.41850701555256
3344,Toronto,2019,7,9,14,The Moon: A Voyage Through Time,NA,"77 Wynford Dr, Toronto, ON M3C 1K1, Canada",NA,43.72524540000001,-79.33210480000002
3345,Toronto,2019,7,27,22,Foul Play!,NA,"33 Gerrard St W, Toronto, ON M5G 1Z4, Canada",NA,43.6583645,-79.3830719
3346,Toronto,2016,2,18,NA,"‘So Long Lives This’: Celebrating Shakespeare, 1616-2016",Downtown,120 St. George Street,St. George Street and Harbord Street,43.6640977365,-79.3989637818
3347,Toronto,2019,3,17,18,"School Girls; Or, The African Mean Girls Play",NA,"12 Alexander St, Toronto, ON M4Y 1B4, Canada",NA,43.6633185,-79.38306590000002
3348,Toronto,2019,7,31,18,Farmers' Market,NA,"4709 Dundas St W, Etobicoke, ON M9A 1A8, Canada",NA,43.651723,-79.5256961
3349,Toronto,2019,6,28,18,Sewing Classes,NA,"707 Dundas St W, Toronto, ON M5T 2W6, Canada",NA,43.6517657,-79.40496460000003
3350,Toronto,2019,4,5,0,Dry Powder,NA,"5040 Yonge St, North York, ON M2N 6R8, Canada",NA,43.7662845,-79.4141305
3351,Toronto,2019,3,25,18,Sewing Classes,NA,"1765 Weston Rd, York, ON M9N 3P7, Canada",NA,43.6990692,-79.51211869999997
3352,Toronto,2019,9,28,15,A Tapestry of Spirit: The Torah Stitch by Stitch Project,NA,"55 Centre Ave, Toronto, ON M5G 2H5, Canada",NA,43.6545873,-79.3866557
3353,Toronto,2019,3,13,7,March Break Bicycle Repair Programming,NA,"3939 Lawrence Ave E, Scarborough, ON M1G 1R9, Canada",NA,43.763586,-79.20535689999997
3354,Toronto,2019,4,20,13,Saturday Club,NA,"100 Queens Park, Toronto, ON M5S 2C6, Canada",NA,43.6677097,-79.3947771
3355,Toronto,2018,12,29,17,East End Beer &amp; Food Walk,NA,"47 Donlands Ave, Toronto, ON M4J 3N5, Canada",NA,43.6808809,-79.33747729999999
3356,Toronto,2019,5,21,19,Sewing Classes,NA,"707 Dundas St W, Toronto, ON M5T 2W6, Canada",NA,43.6517657,-79.40496460000003
3357,Toronto,2019,4,1,2,Ai Weiwei: Unbroken,NA,"111 Queens Park, Toronto, ON M5S 2C7, Canada",NA,43.6681235,-79.39316559999997
3358,Toronto,2019,3,31,17,Tour and Taste Weekends,NA,"5172 Yonge St, Toronto, ON M2N 0G1, Canada",NA,43.7696779,-79.4131304
3359,Toronto,2019,1,1,21,Winter Light Exhibition,NA,"Unnamed Road, Toronto, ON M6K 3B9, Canada",NA,43.62995118169457,-79.41850701555256
3360,Toronto,2019,5,8,14,Ai Weiwei: Unbroken,NA,"111 Queens Park, Toronto, ON M5S 2C7, Canada",NA,43.6681235,-79.39316559999997
3361,Toronto,2019,4,5,2,Sewing Classes,NA,"707 Dundas St W, Toronto, ON M5T 2W6, Canada",NA,43.6517657,-79.40496460000003
3362,Toronto,2018,12,23,21,Winter Light Exhibition,NA,"Unnamed Road, Toronto, ON M6K 3B9, Canada",NA,43.62995118169457,-79.41850701555256
3363,Toronto,2019,4,7,16,How to Breathe Forever Exhibition Family Kit,NA,"199 Richmond St W, Toronto, ON M5V 1V3, Canada",NA,43.6495164,-79.38795440000001
3364,Toronto,2019,7,9,15,A Tapestry of Spirit: The Torah Stitch by Stitch Project,NA,"55 Centre Ave, Toronto, ON M5G 2H5, Canada",NA,43.6545873,-79.3866557
3365,Toronto,2019,3,8,0,#trapjazz thursdays with game.set.trap,NA,"876 Dundas St W, Toronto, ON M6J 1V7, Canada",NA,43.6513532,-79.41137309999999
3366,Toronto,2019,1,17,21,Winter Light Exhibition,NA,"Unnamed Road, Toronto, ON M6K 3B9, Canada",NA,43.62995118169457,-79.41850701555256
3367,Toronto,2019,4,13,14,The Moon: A Voyage Through Time,NA,"77 Wynford Dr, Toronto, ON M3C 1K1, Canada",NA,43.72524540000001,-79.33210480000002
3368,Toronto,2019,7,10,15,A Tapestry of Spirit: The Torah Stitch by Stitch Project,NA,"55 Centre Ave, Toronto, ON M5G 2H5, Canada",NA,43.6545873,-79.3866557
3369,Toronto,2019,5,18,0,Beautiful Man,NA,"125 Bathurst St, Toronto, ON M5V 2R2, Canada",NA,43.6455699,-79.40273730000001
3370,Toronto,2019,1,19,16,The Best of Scarborough Food Tour,NA,"2455 Eglinton Ave E, Scarborough, ON M1K, Canada",NA,43.7325254,-79.26370120000001
3371,Toronto,2018,11,17,16,Crosscurrents: Canada in the Making,NA,"55 Centre Ave, Toronto, ON M5G 2H5, Canada",NA,43.6545873,-79.3866557
3372,Toronto,2019,1,28,21,Winter Light Exhibition,NA,"Unnamed Road, Toronto, ON M6K 3B9, Canada",NA,43.62995118169457,-79.41850701555256
3373,Toronto,2019,7,9,15,Nadia Myre: Balancing Acts,NA,"55 Centre Ave, Toronto, ON M5G 2H5, Canada",NA,43.6545873,-79.3866557
3374,Toronto,2019,5,8,17,Sewing Classes,NA,"1765 Weston Rd, York, ON M9N 3P7, Canada",NA,43.6990692,-79.51211869999997
3375,Toronto,2018,8,12,15,Crosscurrents: Canada in the Making,NA,"55 Centre Ave, Toronto, ON M5G 2H5, Canada",NA,43.6545873,-79.3866557
